time,abs_time,platform_position,is_rotating,F_1,V1_R,V1_theta,V1_X,V1_Y,Vout_1,F_2,V2_R,V2_theta,V2_X,V2_Y,Vout_2,F_3,V3_R,V3_theta,V3_X,V3_Y,Vout_3,F_4,V4_R,V4_theta,V4_X,V4_Y,Vout_4,control_time,Vti-Pressure,AirlockPressure,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,Hanalog,H1,H2,SP1,SP2,Magnet_magnet_field,Magnet_output_field
24.822903,1723639088.910831,0,0,313.3,6.425e-07,-157.692,-5.944131972853852e-07,-2.4388358061371354e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,0.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393253.65088,0.0012456420809030533,-8.161021451330203,35.44,34.381,3.034,2.764,3.069,2.991,5.703,3.04,296.844,0.0,1.2864,0.011776347345323908,12.1,0.0,296.8,300.0,0.001,0.001
25.942009,1723639090.029937,0,0,313.3,6.72069e-07,-158.676,-6.260584758125111e-07,-2.443921554066649e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,0.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393254.60413,0.0008514574728906155,-6.840199406620277,35.438,34.384,3.134,2.93,3.069,2.991,5.703,3.04,296.791,0.0,1.2863,0.011774320695571487,13.5,0.0,296.8,300.0,0.0005,0.0005
27.0017,1723639091.089628,0,0,313.3,7.33304e-07,-155.502,-6.672888543326622e-07,-3.040729210229072e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,0.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393255.599694,0.0012456420809030533,-7.613363536151196,35.444,34.385,2.979,2.913,3.069,2.991,5.7,3.04,296.813,0.0,1.286,0.011773644558642082,11.1,0.0,296.8,300.0,0.0016,0.0016
28.111631,1723639092.199559,0,0,313.3,5.70555e-07,-162.252,-5.434002568503985e-07,-1.73922881990614e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,90.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393256.679628,0.0012456420809030533,-7.484502849034848,35.445,34.384,3.027,2.749,3.069,2.99,5.703,3.04,296.822,0.0,1.2862,0.011774801892436753,12.9,0.0,296.8,300.0,0.001,0.001
29.128948,1723639093.216876,0,0,313.3,6.52395e-07,-174.906,-6.49818280443532e-07,-5.792614631072163e-08,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,90.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393257.739562,0.0008514574728906155,-7.8388697375113905,35.441,34.385,3.135,2.912,3.069,2.991,5.702,3.04,296.758,0.0,1.2862,0.01177289115210893,16.6,0.0,296.8,300.0,0.0005,0.0005
30.217406,1723639094.305334,0,0,313.3,6.90696e-07,-150.312,-6.000319719086287e-07,-3.420856575529624e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,45.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393258.825397,0.0004572424804791808,-7.8066545659736395,35.444,34.382,3.091,2.937,3.069,2.991,5.701,3.041,296.81,0.0,1.2861,0.011773999310655479,11.1,0.0,296.8,300.0,0.001,0.001
31.227677,1723639095.315605,0,0,313.3,7.40405e-07,-160.062,-6.960267324294999e-07,-2.52480398780803e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,0.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393259.805662,6.305678107310086e-05,-7.484502849034848,35.437,34.386,2.968,2.745,3.069,2.991,5.702,3.04,296.808,0.0,1.286,0.011773495282048067,14.2,0.0,296.8,300.0,0.001,0.001
32.527598,1723639096.615526,0,0,313.3,5.72069e-07,-150.558,-4.981884200847698e-07,-2.811960861293076e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,0.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393261.335577,-0.0015137515729293227,-7.871084909020781,35.44,34.382,3.12,2.855,3.069,2.991,5.703,3.041,296.811,0.0,1.286,0.011773584848004476,12.1,0.0,296.8,300.0,0.0016,0.0016
33.601115,1723639097.689043,0,0,313.3,6.32488e-07,-164.922,-6.107130739354087e-07,-1.6453149081061655e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,0.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393262.301135,0.0012456420809030533,-7.226781473436876,35.443,34.384,3.121,2.934,3.069,2.991,5.7,3.041,296.812,0.0,1.2859,0.011773170385354657,13.6,0.0,296.8,300.0,0.001,0.001
34.652723,1723639098.740651,0,0,313.3,5.75561e-07,-167.934,-5.628453925653133e-07,-1.203142917071714e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,0.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393263.240729,0.0016603197436779737,-7.645578707859249,35.441,34.381,2.975,2.775,3.069,2.991,5.702,3.041,296.771,0.0,1.2859,0.011771946317259528,13.2,0.0,296.8,300.0,0.0,0.0
35.732868,1723639099.820796,0,0,313.3,5.496e-07,-172.014,-5.44270004252436e-07,-7.635654831809307e-08,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,90.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393264.330859,0.0016603197436779737,-7.0657056127625015,35.443,34.377,3.039,2.758,3.069,2.991,5.704,3.041,296.813,0.0,1.2858,0.011772755922706012,13.9,0.0,296.8,300.0,0.0016,0.0016
36.752807,1723639100.840735,0,0,313.3,4.06175e-07,-165.072,-3.924667176916152e-07,-1.0463272016616048e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,45.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393265.350802,0.0024487157352268696,-7.32342698949959,35.443,34.379,3.133,2.912,3.069,2.992,5.703,3.041,296.793,0.0,1.2856,0.011771270180346651,14.1,0.0,296.8,300.0,0.0016,0.0016
37.762734,1723639101.850662,0,0,313.3,4.44708e-07,-157.128,-4.097430369072029e-07,-1.728463160442321e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,0.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393266.430732,0.0016603197436779737,-7.420072505306094,35.445,34.385,3.075,2.94,3.069,2.992,5.7,3.041,296.804,0.0,1.2857,0.011772042906852808,12.7,0.0,296.8,300.0,0.0005,0.0005
38.852668,1723639102.940596,0,0,313.3,6.34584e-07,-148.98,-5.438305343021697e-07,-3.270247743162843e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,0.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393267.440673,0.00087195128435269,-7.8066545659736395,35.446,34.385,2.968,2.746,3.069,2.991,5.703,3.041,296.79,0.0,1.2858,0.011772069250346386,12.8,0.0,296.8,300.0,0.0005,0.0005
39.892612,1723639103.98054,0,0,313.3,6.54491e-07,-150.126,-5.675241118432986e-07,-3.2599823858032614e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,0.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393268.490609,0.001266135717742145,-6.96906009601567,35.443,34.381,3.076,2.788,3.069,2.991,5.704,3.041,296.809,0.0,1.2857,0.011772192183455682,13.8,0.0,296.8,300.0,0.001,0.001
41.192523,1723639105.280451,0,0,313.3,5.06061e-07,-175.656,-5.046072183038599e-07,-3.833133126622028e-08,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,45.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393269.830523,0.0004777661233674735,-7.581148364414737,35.439,34.386,3.124,2.952,3.07,2.992,5.701,3.041,296.808,0.0,1.2857,0.011772162328135107,13.6,0.0,296.8,300.0,0.001,0.001
42.242467,1723639106.330395,0,0,313.3,5.64502e-07,-175.698,-5.629115244586533e-07,-4.234529059570821e-08,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,0.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393271.080445,0.00087195128435269,-7.35564216146355,35.445,34.384,2.976,2.758,3.069,2.991,5.702,3.041,296.783,0.0,1.2857,0.011771415945120755,12.9,0.0,296.8,300.0,0.001,0.001
43.402394,1723639107.490322,0,0,313.3,5.93373e-07,-153.654,-5.317395963870848e-07,-2.6333347444466717e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,0.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393272.000385,0.0004777661233674735,-7.903300080501818,35.438,34.384,3.036,2.767,3.069,2.991,5.704,3.041,296.873,0.0,1.2857,0.011774102923972426,10.0,0.0,296.8,300.0,0.0005,0.0005
44.452302,1723639108.54023,0,0,313.3,6.15259e-07,-155.718,-5.608285822349526e-07,-2.5301173575416034e-07,0.004,212.0,0.0,0.0,0.0,0.0,0.004,313.1,0.0,0.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393273.040309,0.0008514574728906155,-7.8388697375113905,35.443,34.387,3.14,2.925,3.07,2.992,5.702,3.041,296.783,0.0,1.2857,0.011771415945120755,12.7,0.0,296.8,300.0,0.0005,0.0005
45.482247,1723639109.570175,0,0,313.3,1.92657e-06,-124.074,-1.0793862250443565e-06,-1.5958061730938672e-06,0.004,212.0,0.000122071,-165.966,-0.0001184274243162632,-2.9601929173885708e-05,0.004,313.1,4.76841e-07,90.0,2.919809021761115e-23,4.76841e-07,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393274.160236,0.0012456420809030533,-7.774439394407523,35.449,34.39,2.989,2.929,3.069,2.991,5.701,3.041,296.836,0.0,1.2857,0.011772998277111183,13.6,0.0,296.8,300.0,0.0005,0.0005
46.742193,1723639110.830121,0,0,313.3,8.29812e-07,-157.98,-7.692797336711398e-07,-3.1112159472923153e-07,0.004,212.0,0.000122071,-63.438,5.4585996374069405e-05,-0.00010918652866013316,0.004,313.1,0.0,45.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393275.360198,0.0012456420809030533,-7.097920784954392,35.45,34.39,3.004,2.74,3.069,2.991,5.704,3.041,296.821,0.0,1.2856,0.011772106129339259,16.9,0.0,296.8,300.0,0.0005,0.0005
47.772139,1723639111.860067,0,0,313.3,5.03616e-07,-175.77,-5.022441465340781e-07,-3.7146907384807685e-08,0.004,212.0,0.0,-90.0,0.0,-0.0,0.004,313.1,0.0,0.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393276.440128,0.0012456420809030533,-8.289882136065154,35.447,34.385,3.122,2.868,3.069,2.991,5.702,3.041,296.758,0.0,1.2857,0.0117706695621064,12.5,0.0,296.8,300.0,0.0005,0.0005
48.831997,1723639112.919925,0,0,313.3,7.26202e-07,170.136,-7.154666705263939e-07,1.244057401001918e-07,0.004,212.0,0.000122071,-56.31,6.771268794889986e-05,-0.00010156929128301973,0.004,313.1,0.0,0.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393277.459988,0.0012456420809030533,-7.1945663013590035,35.446,34.38,3.106,2.951,3.069,2.992,5.7,3.041,296.817,0.0,1.2857,0.011772431026020274,11.0,0.0,296.8,300.0,0.0005,0.0005
49.891922,1723639113.97985,0,0,313.3,4.55069e-07,-162.276,-4.334687151465101e-07,-1.3853760410167946e-07,0.004,212.0,6.10356e-05,-45.0,4.3158686653789643e-05,-4.3158686653789643e-05,0.004,313.1,0.0,0.0,0.0,0.0,0.004,313.2,0.0,0.0,0.0,0.0,0.004,4393278.429932,0.0008514574728906155,-8.161021451330203,35.448,34.383,2.97,2.762,3.069,2.991,5.701,3.041,296.803,0.0,1.2856,0.011771568733558297,14.0,0.0,296.8,300.0,0.0005,0.0005
