time,abs_time,angle,is_rotating,Freq_272,V_272_R,V_272_theta,V_272_X,V_272_Y,Vout_272,Harm_272,Freq_363,V_363_R,V_363_theta,V_363_X,V_363_Y,Vout_363,Harm_363,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
6.560891,1619022167.042425,185.0024,0,237.1,6.77261e-06,0.684,6.772127399405448e-06,8.084985047605497e-08,1.45,1,313.1,5.61078e-06,0.774,5.610268055010747e-06,7.57928712078657e-08,1.0,1,38.532,47.396,3.317,3.468,3.561,3.531,5.824,3.41,296.793,299.984,-1.0248,44.5,46.0,296.8,300.0,0,0,0.008262308314442635,0.0015044801140981143
6.691851,1619022167.173385,185.0024,0,237.1,6.77354e-06,0.684,6.77305733313579e-06,8.08609526007813e-08,1.45,1,313.1,5.61078e-06,0.78,5.610260087238111e-06,7.638037668808736e-08,1.0,1,38.532,47.396,3.317,3.518,3.561,3.531,5.825,3.41,296.77,299.992,-1.0247,41.5,45.9,296.8,300.0,0,0,0.0074734496884047985,0.0015042387389367197
6.806813,1619022167.288347,185.0024,0,237.1,6.774e-06,0.684,6.773517300357249e-06,8.086644397430184e-08,1.45,1,313.1,5.61078e-06,0.786,5.61025205794209e-06,7.696788133070448e-08,1.0,1,38.531,47.396,3.317,3.518,3.56,3.531,5.825,3.41,296.779,299.995,-1.0247,39.8,46.0,296.8,300.0,0,0,0.007867894135415554,0.0015045070984401818
6.922776,1619022167.40431,185.0024,0,237.1,6.77447e-06,0.684,6.773987266866131e-06,8.087205472550762e-08,1.45,1,313.1,5.61032e-06,0.804,5.609767646203052e-06,7.872393545463321e-08,1.0,1,38.531,47.398,3.317,3.518,3.56,3.531,5.825,3.41,296.79,299.996,-1.0247,39.2,46.1,296.8,300.0,0,0,0.008262308314442635,0.0015048350933888576
7.038739,1619022167.520273,185.0024,0,237.1,6.77447e-06,0.678,6.77399569862534e-06,8.016268399560357e-08,1.45,1,313.1,5.60938e-06,0.822,5.608802734254941e-06,8.047280667588946e-08,1.0,1,38.531,47.398,3.317,3.518,3.56,3.531,5.825,3.41,296.778,299.999,-1.0247,42.8,45.9,296.8,300.0,0,0,0.0074734496884047985,0.0015044772807175754
7.153702,1619022167.635236,185.0024,0,237.1,6.77447e-06,0.672,6.774004056099376e-06,7.945331238661732e-08,1.45,1,313.1,5.60938e-06,0.84,5.6087771761942126e-06,8.223486002226794e-08,1.0,1,38.531,47.398,3.304,3.563,3.56,3.531,5.826,3.41,296.795,300.006,-1.0248,38.1,45.7,296.8,300.0,0,0,0.0074734496884047985,0.001504539749535012
7.292659,1619022167.774193,185.0024,0,237.1,6.77494e-06,0.666,6.774482307536504e-06,7.874940301292616e-08,1.45,1,313.1,5.60845e-06,0.858,5.607821168842915e-06,8.398297909265783e-08,1.0,1,38.536,47.398,3.304,3.563,3.56,3.531,5.826,3.41,296.821,300.01,-1.0247,38.7,46.1,296.8,300.0,0,0,0.0074734496884047985,0.00150575944278967
7.410619,1619022167.892153,185.0024,0,237.1,6.77494e-06,0.666,6.774482307536504e-06,7.874940301292616e-08,1.45,1,313.1,5.60799e-06,0.87,5.607343509524667e-06,8.515049202196963e-08,1.0,1,38.536,47.391,3.304,3.563,3.561,3.531,5.826,3.41,296.818,300.002,-1.0247,40.6,46.9,296.8,300.0,0,0,0.006684619002044201,0.0015056699896218479
7.525583,1619022168.007117,185.0024,0,237.1,6.77494e-06,0.666,6.774482307536504e-06,7.874940301292616e-08,1.45,1,313.1,5.60752e-06,0.882,5.606855608351311e-06,8.631765462206725e-08,1.0,1,38.536,47.391,3.304,3.563,3.561,3.531,5.826,3.41,296.818,299.998,-1.0247,40.2,46.6,296.8,300.0,0,0,0.006684619002044201,0.0015056699896218479
7.640546,1619022168.12208,185.0024,0,237.1,6.77494e-06,0.666,6.774482307536504e-06,7.874940301292616e-08,1.45,1,313.1,5.60706e-06,0.888,5.606386593690516e-06,8.6897673658486e-08,1.0,1,38.536,47.391,3.359,3.563,3.561,3.531,5.827,3.41,296.821,299.998,-1.0248,39.8,46.2,296.8,300.0,0,0,0.0074734496884047985,0.00150531501021468
7.75451,1619022168.236044,185.0024,0,237.1,6.77494e-06,0.666,6.774482307536504e-06,7.874940301292616e-08,1.45,1,313.1,5.60706e-06,0.894,5.606377463046972e-06,8.748477261214055e-08,1.0,1,38.538,47.391,3.359,3.638,3.561,3.531,5.827,3.41,296.826,299.992,-1.0248,39.3,46.6,296.8,300.0,0,0,0.007867894135415554,0.0015054640988069236
