time,abs_time,Freq_272-y,V_272-y_R,V_272-y_theta,V_272-y_X,V_272-y_Y,Harm_272-y,Freq_363-y,V_363-y_R,V_363-y_theta,V_363-y_X,V_363-y_Y,Harm_363-y,Freq_272-x,V_272-x_R,V_272-x_theta,V_272-x_X,V_272-x_Y,Vout_272-x,Harm_272-x,Freq_363-x,V_363-x_R,V_363-x_theta,V_363-x_X,V_363-x_Y,Vout_363-x,Harm_363-x,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
6.03237,1619351245.951872,36.8299,4.31904e-06,-93.954,-2.9782180285241423e-07,-4.308759530926011e-06,1,13.217,5.11765e-07,-31.662,4.355936048101409e-07,-2.6862916199382896e-07,1,36.83,1.64827e-05,-4.698,1.6427322189409297e-05,-1.3499944352999734e-06,5.0,1,13.217,5.2471e-06,15.564,5.054695894957825e-06,1.4078735097644672e-06,5.0,1,39.5,48.899,3.436,3.579,3.462,3.642,5.878,3.522,2.27283,3.00006,-4068.9,0.4,9.1,2.273,3.0,0,0,0.008461765944957733,-15.773945215225897
6.230908,1619351246.15041,36.8299,4.32556e-06,-94.014,-3.0279016260911074e-07,-4.314949296460754e-06,1,13.2165,5.14559e-07,-32.046,4.3615172239651195e-07,-2.730249796841967e-07,1,36.83,1.64827e-05,-4.698,1.6427322189409297e-05,-1.3499944352999734e-06,5.0,1,13.217,5.2471e-06,15.564,5.054695894957825e-06,1.4078735097644672e-06,5.0,1,39.5,48.899,3.41,3.645,3.462,3.642,5.879,3.522,2.27288,3.00053,-4068.9,0.4,8.9,2.273,3.0,0,0,0.01003738958388567,-15.773945215225897
6.430934,1619351246.350436,36.8299,4.33394e-06,-94.08,-3.083566562535864e-07,-4.322956406921554e-06,1,13.2165,5.17353e-07,-32.484,4.364087025145086e-07,-2.778517068124706e-07,1,36.83,1.64827e-05,-4.698,1.6427322189409297e-05,-1.3499944352999734e-06,5.0,1,13.217,5.24896e-06,15.582,5.056044988443742e-06,1.4099610478424298e-06,5.0,1,39.502,48.899,3.41,3.645,3.462,3.642,5.879,3.522,2.27294,2.99948,-4069.0,0.4,9.2,2.273,3.0,0,0,0.00964348390698433,-15.774229811454997
6.630921,1619351246.550423,36.8299,4.34372e-06,-94.152,-3.14496896638218e-07,-4.332319833577033e-06,1,13.2165,5.1875e-07,-32.916,4.3547410223031326e-07,-2.8189336421189966e-07,1,36.83,1.64808e-05,-4.698,1.642542857294113e-05,-1.3498388182331657e-06,5.0,1,13.217,5.24896e-06,15.6,5.055601786618236e-06,1.411549381616705e-06,5.0,1,39.502,48.906,3.46,3.645,3.462,3.642,5.879,3.522,2.27291,3.00068,-4069.0,0.4,9.0,2.273,3.0,0,0,0.009249579161405563,-15.774229811454997
6.820906,1619351246.740408,36.829,4.35443e-06,-94.218,-3.20274897734669e-07,-4.342635676036046e-06,1,13.217,5.19216e-07,-33.192,4.345011118110527e-07,-2.8424292161979864e-07,1,36.83,1.64808e-05,-4.698,1.642542857294113e-05,-1.3498388182331657e-06,5.0,1,13.217,5.2471e-06,15.606,5.053662511807929e-06,1.4115784167899321e-06,5.0,1,39.502,48.906,3.46,3.728,3.462,3.642,5.881,3.522,2.27294,2.99925,-4068.9,0.4,9.3,2.273,3.0,0,0,0.009249579161405563,-15.773945215225897
7.029649,1619351246.949151,36.829,4.36607e-06,-94.296,-3.2705841784678264e-07,-4.353802939524888e-06,1,13.217,5.19216e-07,-33.354,4.336956981726664e-07,-2.8547030676153236e-07,1,36.83,1.64808e-05,-4.692,1.642556983766888e-05,-1.3481187439770959e-06,5.0,1,13.217,5.2471e-06,15.618,5.053366760678593e-06,1.4126368224242032e-06,5.0,1,39.497,48.884,3.46,3.728,3.463,3.642,5.881,3.522,2.27294,3.00096,-4068.9,0.4,9.0,2.273,3.0,0,0,0.009249579161405563,-15.773945215225897
7.229686,1619351247.149188,36.829,4.37538e-06,-94.374,-3.3369523404412904e-07,-4.362636546307317e-06,1,13.216,5.1875e-07,-33.312,4.3351540965824053e-07,-2.84896388339424e-07,1,36.83,1.64808e-05,-4.692,1.642556983766888e-05,-1.3481187439770959e-06,5.0,1,13.217,5.2471e-06,15.618,5.053366760678593e-06,1.4126368224242032e-06,5.0,1,39.497,48.884,3.544,3.728,3.463,3.642,5.88,3.522,2.273,2.99912,-4068.8,0.4,9.2,2.273,3.0,0,0,0.00964348390698433,-15.773660618996798
7.429671,1619351247.349173,36.8309,4.38516e-06,-94.452,-3.403931896641379e-07,-4.371928716485468e-06,1,13.216,5.17819e-07,-33.156,4.3351007428972685e-07,-2.8320581252918437e-07,1,36.83,1.64808e-05,-4.692,1.642556983766888e-05,-1.3481187439770959e-06,5.0,1,13.217,5.24896e-06,15.636,5.0547138861073375e-06,1.4147256310654904e-06,5.0,1,39.495,48.884,3.544,3.749,3.463,3.642,5.88,3.522,2.27296,3.00102,-4068.9,0.4,8.9,2.273,3.0,0,0,0.00964348390698433,-15.773945215225897
7.629658,1619351247.54916,36.829,4.39308e-06,-94.542,-3.4788736010271114e-07,-4.379283762338399e-06,1,13.2165,5.16888e-07,-32.952,4.337344438235779e-07,-2.811541157177884e-07,1,36.83,1.64808e-05,-4.692,1.642556983766888e-05,-1.3481187439770959e-06,5.0,1,13.217,5.24896e-06,15.654,5.0542691875095794e-06,1.416313546426517e-06,5.0,1,39.495,48.893,3.595,3.749,3.463,3.642,5.88,3.522,2.27296,2.99874,-4068.9,0.4,9.1,2.273,3.0,0,0,0.009249579161405563,-15.773945215225897
7.829642,1619351247.749144,36.8309,4.40053e-06,-94.632,-3.553675202881191e-07,-4.386157567441493e-06,1,13.217,5.16888e-07,-32.736,4.34791285195026e-07,-2.7951698134900056e-07,1,36.83,1.64808e-05,-4.692,1.642556983766888e-05,-1.3481187439770959e-06,5.0,1,13.217,5.24896e-06,15.672,5.05382399007545e-06,1.4179013220030014e-06,5.0,1,39.495,48.893,3.595,3.711,3.463,3.642,5.879,3.522,2.27297,3.00046,-4069.0,0.4,9.0,2.273,3.0,0,0,0.00964348390698433,-15.774229811454997
8.029798,1619351247.9493,36.829,4.40844e-06,-94.728,-3.633680816530551e-07,-4.393439071028046e-06,1,13.2165,5.1875e-07,-32.568,4.37178207959823e-07,-2.792432219142261e-07,1,36.83,1.64808e-05,-4.692,1.642556983766888e-05,-1.3481187439770959e-06,5.0,1,13.217,5.24896e-06,15.672,5.05382399007545e-06,1.4179013220030014e-06,5.0,1,39.496,48.895,3.595,3.711,3.463,3.642,5.879,3.522,2.27299,2.99848,-4068.9,0.4,9.2,2.273,3.0,0,0,0.010431294329464436,-15.773945215225897
8.22983,1619351248.149332,36.8309,4.41543e-06,-94.824,-3.713166717449291e-07,-4.399789314749544e-06,1,13.217,5.21544e-07,-32.502,4.3985596623575664e-07,-2.802407409760559e-07,1,36.83,1.64808e-05,-4.692,1.642556983766888e-05,-1.3481187439770959e-06,5.0,1,13.217,5.24896e-06,15.672,5.05382399007545e-06,1.4179013220030014e-06,5.0,1,39.496,48.895,3.627,3.711,3.463,3.642,5.879,3.522,2.27297,3.00005,-4068.8,0.4,9.1,2.273,3.0,0,0,0.008067858405411243,-15.773660618996798
8.429817,1619351248.349319,36.8299,4.42148e-06,-94.92,-3.79206941324657e-07,-4.405188700390847e-06,1,13.216,5.25735e-07,-32.472,4.435383932188287e-07,-2.8226048955859855e-07,1,36.83,1.64808e-05,-4.692,1.642556983766888e-05,-1.3481187439770959e-06,5.0,1,13.217,5.24896e-06,15.69,5.05337829384889e-06,1.4194889576382353e-06,5.0,1,39.49,48.895,3.627,3.63,3.463,3.642,5.879,3.522,2.273,2.99904,-4068.9,0.4,9.1,2.273,3.0,0,0,0.00964348390698433,-15.773945215225897
